n,m_type,m_count,time_A,time_B
101,1000n,10100,0.0001641,0.0002204
201,1000n,40200,0.0015131,0.0010247
301,1000n,90300,0.0012277,0.0019307
401,1000n,160400,0.0021014,0.0040906
501,1000n,250500,0.002832,0.004961
601,1000n,360600,0.0047653,0.0067224
701,1000n,490700,0.0055489,0.0094861
801,1000n,640800,0.0073962,0.011534
901,1000n,810900,0.0088039,0.0155452
1001,1000n,1001000,0.0110569,0.0187264
1101,1000n,1101000,0.0125168,0.0204774
1201,1000n,1201000,0.0140828,0.0251032
1301,1000n,1301000,0.0143523,0.0266328
1401,1000n,1401000,0.01646,0.0311927
1501,1000n,1501000,0.0166444,0.0333186
1601,1000n,1601000,0.0172214,0.0345443
1701,1000n,1701000,0.0183221,0.0362249
1801,1000n,1801000,0.0241667,0.0408461
1901,1000n,1901000,0.0231679,0.0843667
2001,1000n,2001000,0.0230254,0.0507097
2101,1000n,2101000,0.0227918,0.0504549
2201,1000n,2201000,0.0260004,0.0583024
2301,1000n,2301000,0.0252537,0.0617913
2401,1000n,2401000,0.0272539,0.0661581
2501,1000n,2501000,0.0278461,0.0685181
2601,1000n,2601000,0.0294566,0.0740218
2701,1000n,2701000,0.0309208,0.0760079
2801,1000n,2801000,0.0306702,0.0824149
2901,1000n,2901000,0.0346614,0.0898332
3001,1000n,3001000,0.0354147,0.0978516
3101,1000n,3101000,0.0380988,0.101226
3201,1000n,3201000,0.0372448,0.109196
3301,1000n,3301000,0.0393374,0.114386
3401,1000n,3401000,0.0396404,0.12247
3501,1000n,3501000,0.0414439,0.125289
3601,1000n,3601000,0.0425541,0.132522
3701,1000n,3701000,0.040534,0.131657
3801,1000n,3801000,0.042284,0.137837
3901,1000n,3901000,0.0425592,0.143229
4001,1000n,4001000,0.0436963,0.154814
4101,1000n,4101000,0.0451366,0.164589
4201,1000n,4201000,0.0464134,0.163875
4301,1000n,4301000,0.0481427,0.172087
4401,1000n,4401000,0.0494568,0.178515
4501,1000n,4501000,0.0503931,0.183771
4601,1000n,4601000,0.0530274,0.193205
4701,1000n,4701000,0.0536704,0.201566
4801,1000n,4801000,0.0543495,0.21004
4901,1000n,4901000,0.0557624,0.214512
5001,1000n,5001000,0.0571449,0.22308
5101,1000n,5101000,0.0584872,0.230451
5201,1000n,5201000,0.0593558,0.235342
5301,1000n,5301000,0.0601287,0.245412
5401,1000n,5401000,0.0632391,0.254644
5501,1000n,5501000,0.0635968,0.257807
5601,1000n,5601000,0.0635608,0.26709
5701,1000n,5701000,0.0646504,0.278836
5801,1000n,5801000,0.0662226,0.283875
5901,1000n,5901000,0.067596,0.293858
6001,1000n,6001000,0.069383,0.301356
6101,1000n,6101000,0.0695934,0.309906
6201,1000n,6201000,0.0706675,0.319055
6301,1000n,6301000,0.0728285,0.331899
6401,1000n,6401000,0.0732624,0.338979
6501,1000n,6501000,0.0743542,0.34936
6601,1000n,6601000,0.0761652,0.358556
6701,1000n,6701000,0.0793248,0.383298
6801,1000n,6801000,0.0783354,0.378449
6901,1000n,6901000,0.0802485,0.386491
7001,1000n,7001000,0.0798457,0.398658
7101,1000n,7101000,0.0809209,0.404774
7201,1000n,7201000,0.0821654,0.416497
7301,1000n,7301000,0.0832778,0.426505
7401,1000n,7401000,0.0844393,0.433428
7501,1000n,7501000,0.0906633,0.465548
7601,1000n,7601000,0.0868998,0.455713
7701,1000n,7701000,0.0878176,0.462675
7801,1000n,7801000,0.0888271,0.474559
7901,1000n,7901000,0.0956127,0.491026
8001,1000n,8001000,0.0912313,0.486237
8101,1000n,8101000,0.0921243,0.505849
8201,1000n,8201000,0.109916,0.517581
8301,1000n,8301000,0.0948677,0.525811
8401,1000n,8401000,0.0951811,0.536217
8501,1000n,8501000,0.0978318,0.548855
8601,1000n,8601000,0.0985854,0.562699
8701,1000n,8701000,0.0986036,0.569841
8801,1000n,8801000,0.100288,0.580092
8901,1000n,8901000,0.104652,0.590671
9001,1000n,9001000,0.103075,0.605077
9101,1000n,9101000,0.104668,0.612601
9201,1000n,9201000,0.106097,0.631119
9301,1000n,9301000,0.106692,0.64128
9401,1000n,9401000,0.105749,0.646135
9501,1000n,9501000,0.106703,0.658376
9601,1000n,9601000,0.107681,0.666876
9701,1000n,9701000,0.109154,0.680809
9801,1000n,9801000,0.110398,0.695154
9901,1000n,9901000,0.112088,0.708562
10001,1000n,10001000,0.112133,0.725603
