n,m_type,m_count,time_A,time_B
101,100n,10100,0.0001473,0.0001681
201,100n,20100,0.0005729,0.00058
301,100n,30100,0.0005058,0.000795
401,100n,40100,0.0007132,0.0012452
501,100n,50100,0.0007937,0.0020836
601,100n,60100,0.001064,0.0026541
701,100n,70100,0.0011851,0.0031528
801,100n,80100,0.0012828,0.0044666
901,100n,90100,0.0015141,0.0065565
1001,100n,100100,0.0016846,0.0073816
1101,100n,110100,0.0019702,0.0080769
1201,100n,120100,0.0023005,0.0095746
1301,100n,130100,0.0032412,0.0126036
1401,100n,140100,0.0024584,0.0136963
1501,100n,150100,0.0026056,0.0162452
1601,100n,160100,0.0027294,0.0178379
1701,100n,170100,0.0031784,0.0193225
1801,100n,180100,0.0032051,0.0214199
1901,100n,190100,0.0034109,0.0254229
2001,100n,200100,0.003577,0.0271544
2101,100n,210100,0.0039805,0.0296789
2201,100n,220100,0.0038426,0.0310312
2301,100n,230100,0.0048678,0.0343018
2401,100n,240100,0.0042782,0.0387082
2501,100n,250100,0.0045093,0.0394819
2601,100n,260100,0.0050959,0.0463097
2701,100n,270100,0.0049748,0.0487633
2801,100n,280100,0.0050051,0.0518846
2901,100n,290100,0.0050443,0.0524541
3001,100n,300100,0.0058025,0.0559435
3101,100n,310100,0.0061628,0.0655804
3201,100n,320100,0.0065658,0.0705058
3301,100n,330100,0.0063427,0.0737856
3401,100n,340100,0.005958,0.078167
3501,100n,350100,0.0067303,0.0841502
3601,100n,360100,0.0074231,0.0887529
3701,100n,370100,0.0065838,0.0841243
3801,100n,380100,0.0067706,0.0930414
3901,100n,390100,0.0075932,0.0979059
4001,100n,400100,0.0071412,0.101935
4101,100n,410100,0.0075273,0.104723
4201,100n,420100,0.007888,0.108802
4301,100n,430100,0.0079068,0.114674
4401,100n,440100,0.0083246,0.118804
4501,100n,450100,0.0082581,0.12379
4601,100n,460100,0.0086828,0.13352
4701,100n,470100,0.0094189,0.136792
4801,100n,480100,0.0131977,0.151427
4901,100n,490100,0.0105461,0.148116
5001,100n,500100,0.0094711,0.153354
5101,100n,510100,0.0099918,0.160213
5201,100n,520100,0.0099043,0.170739
5301,100n,530100,0.0101355,0.179903
5401,100n,540100,0.0101805,0.183602
5501,100n,550100,0.0105589,0.187383
5601,100n,560100,0.0104338,0.197033
5701,100n,570100,0.010864,0.2047
5801,100n,580100,0.010909,0.212376
5901,100n,590100,0.0114571,0.218405
6001,100n,600100,0.0114162,0.226051
6101,100n,610100,0.0128183,0.22936
6201,100n,620100,0.0124711,0.239652
6301,100n,630100,0.0128904,0.253169
6401,100n,640100,0.0121086,0.25638
6501,100n,650100,0.0123068,0.267162
6601,100n,660100,0.0127956,0.27334
6701,100n,670100,0.0136066,0.278696
6801,100n,680100,0.0132763,0.287296
6901,100n,690100,0.0136849,0.297287
7001,100n,700100,0.0135513,0.308544
7101,100n,710100,0.0138134,0.313416
7201,100n,720100,0.0138303,0.324341
7301,100n,730100,0.0144291,0.328449
7401,100n,740100,0.015184,0.340529
7501,100n,750100,0.0144539,0.344815
7601,100n,760100,0.0139883,0.354202
7701,100n,770100,0.0160863,0.363488
7801,100n,780100,0.0148327,0.370444
7901,100n,790100,0.017488,0.39099
8001,100n,800100,0.0158917,0.410593
8101,100n,810100,0.0151522,0.401529
8201,100n,820100,0.0158172,0.419956
8301,100n,830100,0.0160815,0.42839
8401,100n,840100,0.0160173,0.437948
8501,100n,850100,0.0174095,0.450358
8601,100n,860100,0.0170403,0.459802
8701,100n,870100,0.0173575,0.482982
8801,100n,880100,0.016743,0.484387
8901,100n,890100,0.0171337,0.487586
9001,100n,900100,0.0174506,0.505189
9101,100n,910100,0.0178623,0.510591
9201,100n,920100,0.0178184,0.528128
9301,100n,930100,0.0179959,0.538496
9401,100n,940100,0.0180814,0.541224
9501,100n,950100,0.0183155,0.555261
9601,100n,960100,0.0185996,0.564157
9701,100n,970100,0.0190659,0.573879
9801,100n,980100,0.0190195,0.588129
9901,100n,990100,0.0183797,0.605282
10001,100n,1000100,0.019501,0.616193
