m,time_A,time_B
0,0.0005842,0.0001536
100000,0.0093927,0.599253
200000,0.0107505,0.598526
300000,0.0112654,0.606541
400000,0.0123599,0.60563
500000,0.0135609,0.605092
600000,0.0142024,0.60796
700000,0.0152544,0.607265
800000,0.0162254,0.621627
900000,0.017525,0.611132
1000000,0.0184747,0.617477
